position_x,position_y,task_type,wifi_rssi,wifi_snr,wifi_bandwidth,wifi_latency,wifi_distance,5g_rssi,5g_snr,5g_bandwidth,5g_latency,5g_distance,ble_rssi,ble_snr,ble_bandwidth,ble_latency,ble_distance,optimal_network
420,0,0,-999.0,-999.0,0.0,9999,9999.0,-71.8,28.2,200.0,10,297.3213749463701,-999.0,-999.0,0.0,9999,9999.0,1
430,0,0,-999.0,-999.0,0.0,9999,9999.0,-72.6,27.4,200.0,10,304.7950130825634,-999.0,-999.0,0.0,9999,9999.0,1
440,0,0,-999.0,-999.0,0.0,9999,9999.0,-68.6,31.4,200.0,10,305.9411708155671,-999.0,-999.0,0.0,9999,9999.0,1
450,0,0,-999.0,-999.0,0.0,9999,9999.0,-75.6,24.4,200.0,10,320.1562118716424,-999.0,-999.0,0.0,9999,9999.0,1
460,0,2,-999.0,-999.0,0.0,9999,9999.0,-71.6,28.4,200.0,10,328.0243893371345,-999.0,-999.0,0.0,9999,9999.0,1
470,0,0,-999.0,-999.0,0.0,9999,9999.0,-74.8,25.2,200.0,10,301.4962686336267,-999.0,-999.0,0.0,9999,9999.0,1
480,0,0,-999.0,-999.0,0.0,9999,9999.0,-76.9,23.1,200.0,10,344.0930106817051,-999.0,-999.0,0.0,9999,9999.0,1
490,0,0,-999.0,-999.0,0.0,9999,9999.0,-69.4,30.6,200.0,10,300.1666203960727,-999.0,-999.0,0.0,9999,9999.0,1
500,0,0,-999.0,-999.0,0.0,9999,9999.0,-73.8,26.2,200.0,10,300.0,-999.0,-999.0,0.0,9999,9999.0,1
510,0,2,-999.0,-999.0,0.0,9999,9999.0,-74.2,25.8,200.0,10,402.6164427839479,-999.0,-999.0,0.0,9999,9999.0,1
520,0,1,-999.0,-999.0,0.0,9999,9999.0,-72.2,27.8,200.0,10,377.35924528226417,-999.0,-999.0,0.0,9999,9999.0,1
530,0,0,-999.0,-999.0,0.0,9999,9999.0,-75.2,24.8,200.0,10,385.87562763149475,-999.0,-999.0,0.0,9999,9999.0,1
540,0,0,-999.0,-999.0,0.0,9999,9999.0,-70.0,30.0,200.0,10,302.65491900843114,-999.0,-999.0,0.0,9999,9999.0,1
550,0,0,-999.0,-999.0,0.0,9999,9999.0,-71.6,28.4,200.0,10,304.138126514911,-999.0,-999.0,0.0,9999,9999.0,1
560,0,0,-999.0,-999.0,0.0,9999,9999.0,-76.5,23.5,200.0,10,305.9411708155671,-999.0,-999.0,0.0,9999,9999.0,1
570,0,0,-999.0,-999.0,0.0,9999,9999.0,-78.3,21.7,200.0,10,420.5948168962618,-999.0,-999.0,0.0,9999,9999.0,1
580,0,0,-999.0,-999.0,0.0,9999,9999.0,-74.4,25.6,200.0,10,429.4182110716778,-999.0,-999.0,0.0,9999,9999.0,1
590,0,2,-999.0,-999.0,0.0,9999,9999.0,-74.8,25.2,200.0,10,313.2091952673165,-999.0,-999.0,0.0,9999,9999.0,1
600,0,1,-999.0,-999.0,0.0,9999,9999.0,-72.7,27.3,200.0,10,316.22776601683796,-999.0,-999.0,0.0,9999,9999.0,1
610,0,0,-999.0,-999.0,0.0,9999,9999.0,-75.0,25.0,200.0,10,306.75723300355935,-999.0,-999.0,0.0,9999,9999.0,1
620,0,0,-999.0,-999.0,0.0,9999,9999.0,-73.6,26.4,200.0,10,297.3213749463701,-999.0,-999.0,0.0,9999,9999.0,1
630,0,0,-999.0,-999.0,0.0,9999,9999.0,-72.6,27.4,200.0,10,287.92360097775935,-999.0,-999.0,0.0,9999,9999.0,1
640,0,0,-999.0,-999.0,0.0,9999,9999.0,-76.4,23.6,200.0,10,331.058907144937,-999.0,-999.0,0.0,9999,9999.0,1
650,0,0,-999.0,-999.0,0.0,9999,9999.0,-77.9,22.1,200.0,10,602.0797289396148,-999.0,-999.0,0.0,9999,9999.0,1
